ID,CC,PI,Logo (.png)
132,ES,E016,ES_E215_RNE 5
133,ES,E035,ES_E235_CUARENTA
134,ES,E039,ES_E239_SER
135,ES,E072,ES_E235_CUARENTA
136,ES,E0CA,ES_E2CA_COPE
137,ES,E0DC,ES_E287_ESRADIO
138,ES,E1CC,ES_E1CC_R. MARIA
139,ES,E211,ES_E211_RNE 1
140,ES,E212,ES_E212_RNE_CLASS
141,ES,E213,ES_E213_RNE 3
142,ES,E215,ES_E215_RNE 5
143,ES,E223,ES_E2ED_EUROPAFM
144,ES,E231,ES_E231_CATRADIO
145,ES,E232,ES_E232_CATMUSIC
146,ES,E234,ES_E234_CATINFO
147,ES,E235,ES_E235_CUARENTA
148,ES,E237,ES_E237_DIAL
149,ES,E239,ES_E239_SER
150,ES,E240,ES_E240_RKM
151,ES,E274,ES_E237_DIAL
152,ES,E275,ES_E235_CUARENTA
153,ES,E279,ES_E239_SER
154,ES,E287,ES_E287_ESRADIO
155,ES,E294,ES_E240_RKM
156,ES,E2CA,ES_E2CA_COPE
157,ES,E2CE,ES_E2CE_CAD_100
158,ES,E2CF,ES_E2CF_ROCK FM
159,ES,E2EC,ES_E2EC_KISS FM
160,ES,E2ED,ES_E2ED_EUROPAFM
161,ES,E2EE,ES_E2EE_ONDACERO
162,ES,E2EF,ES_E239_SER
163,ES,E2FD,ES_E2CA_COPE
164,ES,E305,ES_E239_SER
165,ES,E320,ES_E240_RKM
166,ES,E396,ES_E396_CASTILL
167,ES,E435,ES_E235_CUARENTA
168,ES,E437,ES_E237_DIAL
169,ES,E439,ES_E239_SER
170,ES,E4F5,ES_E287_ESRADIO
171,ES,E515,ES_E215_RNE 5
172,ES,E535,ES_E235_CUARENTA
173,ES,E537,ES_E237_DIAL
174,ES,E55F,ES_E239_SER
175,ES,E715,ES_E215_RNE 5
176,ES,E835,ES_E235_CUARENTA
177,ES,E8D4,ES_E2CA_COPE
178,ES,EC15,ES_E215_RNE 5
179,ES,EC35,ES_E235_CUARENTA
180,ES,EC39,ES_E239_SER
181,ES,ED15,ES_E215_RNE 5
182,FI,6201,FI_6201_YLE YKSI
183,FI,6367,FI_6367_AALTO
184,FI,6460,FI_6460_SUOMIPOP
185,FI,6202,FI_6202_YLEX
186,FI,6203,FI_6203_YLESUOMI
187,FI,6207,FI_6207_YLE PUHE
188,FI,62AB,FI_62AB_VOICE
189,FI,62AD,FI_62AD_ISKELMA
190,FI,6340,FI_6340_NRJ
191,FR,F201,FR_F201_INTER
192,FR,F202,FR_F202_CULTURE
193,FR,F203,FR_F203_MUSIQUE
194,FR,F204,FR_F204_F I P
195,FR,F205,FR_F205_BLEU
196,FR,F206,FR_F206_INFO
197,FR,F207,FR_F205_BLEU
198,FR,F208,FR_F208_LE_MOUV_
199,FR,F209,FR_F205_BLEU
200,FR,F20A,FR_F205_BLEU
201,FR,F211,FR_F211_RTL
202,FR,F212,FR_F212_RFM
203,FR,F213,FR_F213_EUROPE 1
204,FR,F214,FR_F214_SKYROCK
205,FR,F215,FR_F215_RTL2
206,FR,F216,FR_F216_RMC INFO
207,FR,F217,FR_F217_FUN
208,FR,F218,FR_F218_NOSTALGI
209,FR,F219,FR_F219_VIRGIN
210,FR,F21D,FR_F21D_OUIFM
211,FR,F220,FR_F220_NRJ
212,FR,F221,FR_F221_CLASSIQ
213,FR,F222,FR_F222_AUTOROUT
214,FR,F223,FR_F223_TSF JAZZ
215,FR,F224,FR_F224_CHERIEFM
216,FR,F225,FR_F225_MFMRADIO
217,FR,F226,FR_F226_RIRE _
218,FR,F227,FR_F227_BFM
219,FR,F229,FR_F229_BEUR FM
220,FR,F22A,FR_F22A_NOVA
221,FR,F22B,FR_F22B_ORIENT
222,FR,F22C,FR_F22C_RADIO FG
223,FR,F22F,FR_F22F_JAZZ
224,FR,F405,FR_F205_BLEU
225,FR,F431,FR_F431_ALPES 1
226,FR,F433,FR_F433_VITAMINE
227,FR,F440,FR_F440_STAR
228,FR,F4A3,FR_F832_PLUS
229,FR,F552,FR_F552_FORUM
230,FR,F560,FR_F560_VIBRA
231,FR,F561,FR_F851_RCF
232,FR,F562,FR_F851_RCF
233,FR,F564,FR_F851_RCF
234,FR,F631,FR_F631_TOTEM
235,FR,F633,FR_F633_MENERGY
236,FR,F639,FR_F644_PRESENCE
237,FR,F640,FR_F640_CFM
238,FR,F644,FR_F644_PRESENCE
239,FR,F645,FR_F645_RTS
240,FR,F650,FR_F650_SUDRADIO
241,FR,F692,FR_F692_100_100
242,FR,F696,FR_F696_ANT.D_OC
243,FR,F6A5,FR_F644_PRESENCE
244,FR,F6AB,FR_F644_PRESENCE
245,FR,F6AC,FR_F644_PRESENCE
246,FR,F6D7,FR_F6D7_MTAILLOU
247,FR,F734,FR_F734_TOPMUSIC
248,FR,F73B,FR_F73B_MAGNUM
249,FR,F748,FR_F748_CHAMP FM
250,FR,F751,FR_F7AD_PHARE FM
251,FR,F7AD,FR_F7AD_PHARE FM
252,FR,F832,FR_F832_PLUS
253,FR,F837,FR_F837_FC RADIO
